SUBREGION1,NAME,GL_TYPE
CE,UNNAMED_UUNARTIT_ISLANDS,TW
CE,POLARIC-DECEPTION_O_N,TW
CE,NORDFJORD,TW
CE,STYRTE,TW
CE,COURTAULD,TW
CE,KOLVEGLETSJER,TW
CE,UNNAMED_DECEPTION_N,TW
CE,KRUUSE_FJORD,TW
CE,ICE_CAPS_CE,TW
SE,GLACIERDEFRANCE,TW
SE,KNUD-RASMUSSEN,TW
SE,NIGERTULUUP_KATTILERTARPIA,TW
SE,ICE_CAPS_SE,TW
